0,1,0,3,2
1,1,2,3,0
2,0,3,1,2
3,3,1,2,0
4,1,2,3,0
5,0,3,1,2
6,2,0,3,1
7,1,0,3,2
8,3,1,2,0
9,3,0,1,2
10,3,1,0,2
11,0,2,1,3
12,0,1,2,3
13,2,0,1,3
14,0,3,1,2
15,3,0,2,1
16,3,1,2,0
17,1,0,2,3
18,1,2,0,3
19,1,3,2,0
20,0,1,2,3
21,1,2,3,0
22,2,3,1,0
23,2,0,3,1
24,0,1,2,3
25,1,0,3,2
26,1,3,2,0
27,3,0,1,2
28,0,3,2,1
29,1,0,3,2
30,0,3,2,1
31,1,0,3,2
32,0,1,3,2
33,3,1,0,2
34,3,1,2,0
35,3,1,2,0
36,3,2,1,0
37,2,3,1,0
38,1,3,0,2
39,1,3,0,2
40,0,2,3,1
41,3,0,2,1
42,1,0,2,3
43,3,1,2,0
44,2,3,0,1
45,1,3,2,0
46,1,3,2,0
47,0,3,1,2
48,1,0,3,2
49,1,3,2,0
50,2,0,3,1
51,2,0,3,1
52,2,1,0,3
53,2,3,1,0
54,1,3,2,0
55,2,0,1,3
56,1,3,0,2
57,1,3,0,2
58,1,3,2,0
59,2,3,1,0
60,0,1,2,3
61,3,0,1,2
62,1,2,3,0
63,0,1,2,3
64,2,3,0,1
65,3,1,2,0
66,0,2,1,3
67,0,2,3,1
68,1,0,3,2
69,3,1,0,2
70,0,3,1,2
71,3,1,2,0
72,3,1,0,2
73,3,2,1,0
74,3,1,0,2
75,2,0,3,1
76,3,1,2,0
77,2,1,3,0
78,0,2,1,3
79,1,0,3,2
80,1,3,2,0
81,3,2,1,0
82,1,3,2,0
83,2,0,1,3
84,1,2,3,0
85,1,0,2,3
86,1,3,2,0
87,2,1,3,0
88,2,0,3,1
89,3,2,1,0
90,1,0,3,2
91,3,2,1,0
92,1,2,0,3
93,0,1,3,2
94,1,0,3,2
95,0,1,2,3
96,1,3,2,0
97,3,1,2,0
98,3,1,2,0
99,2,3,0,1
100,2,1,3,0
101,2,0,1,3
102,1,2,0,3
103,1,0,3,2
104,2,3,1,0
105,2,3,1,0
106,2,3,1,0
107,3,1,2,0
108,1,2,0,3
109,2,0,1,3
110,2,1,0,3
111,3,2,1,0
112,3,1,2,0
113,2,1,0,3
114,3,0,1,2
115,0,3,2,1
116,2,1,3,0
117,1,2,3,0
118,2,1,0,3
119,1,3,2,0
120,3,1,0,2
121,2,3,1,0
122,3,2,0,1
123,1,2,3,0
124,0,2,3,1
125,1,0,3,2
126,1,3,2,0
127,2,3,1,0
128,3,2,1,0
129,1,3,0,2
130,1,2,3,0
131,1,3,0,2
132,3,0,1,2
133,3,1,2,0
134,0,1,3,2
135,1,3,0,2
136,2,1,3,0
137,1,3,0,2
138,0,2,3,1
139,1,2,0,3
140,2,1,3,0
141,2,1,3,0
142,1,3,2,0
143,3,1,0,2
144,2,3,0,1
145,2,0,3,1
146,3,1,2,0
147,1,3,2,0
148,3,1,0,2
149,1,3,2,0
150,2,1,0,3
151,1,2,3,0
152,3,1,0,2
153,3,1,0,2
154,1,2,3,0
155,3,0,1,2
156,0,1,2,3
157,0,3,1,2
158,1,3,2,0
159,2,0,3,1
160,3,2,1,0
161,0,1,3,2
162,3,0,1,2
163,2,1,3,0
164,2,0,1,3
165,2,0,1,3
166,0,3,1,2
167,3,1,2,0
168,0,2,3,1
169,2,1,3,0
170,1,2,3,0
171,3,2,0,1
172,3,0,1,2
173,2,1,3,0
174,3,2,1,0
175,1,2,3,0
176,0,3,1,2
177,1,2,3,0
178,0,1,3,2
179,2,0,1,3
180,3,1,0,2
181,3,0,1,2
182,1,0,2,3
183,3,2,0,1
184,3,1,0,2
185,2,0,3,1
186,1,2,3,0
187,0,3,1,2
188,3,1,0,2
189,1,3,2,0
190,1,2,3,0
191,1,2,3,0
192,0,1,3,2
193,1,3,0,2
194,1,2,3,0
195,2,1,0,3
196,3,1,0,2
197,3,1,2,0
198,2,3,0,1
199,1,2,3,0
200,3,2,0,1
201,3,1,0,2
202,1,3,2,0
203,2,0,3,1
204,1,3,0,2
205,2,1,0,3
206,2,0,1,3
207,0,1,3,2
208,2,3,1,0
209,1,3,2,0
210,0,3,1,2
211,1,0,3,2
212,0,3,1,2
213,1,3,0,2
214,3,1,2,0
215,0,3,2,1
216,2,1,3,0
217,1,2,0,3
218,3,1,0,2
219,3,0,1,2
220,3,0,1,2
